Source,Boat Name,Trip Type,Anglers,Fish Count
seaforth,Aztec,2.5 Day,22,"19 Yellowtail, 7 Bluefin Tuna"
seaforth,Aztec,2.5 Day,22,"19 Yellowtail, 7 Bluefin Tuna"
seaforth,Cortez,2.5 Day,14,3 Bluefin Tuna
seaforth,Highliner,Overnight,22,0
seaforth,New Seaforth,1/2 Day AM,38,"9 Rockfish, 4 Sculpin, 2 Halibut, 1 Calico Bass, 1 Sand Bass"
seaforth,New Seaforth,1/2 Day Twilight,43,"12 Rockfish, 2 Sand Bass, 2 Sheephead, 1 Sculpin"
seaforth,Polaris Supreme,4 Day,24,105 Bluefin Tuna
seaforth,San Diego,Full Day,34,"67 Yellowtail, 4 Calico Bass, 4 Lingcod"
seaforth,Sea Watch,1/2 Day AM,9,17 Yellowtail
seaforth,7 Boats,9 Trips,228 Anglers,"122 Yellowtail, 122 Bluefin Tuna, 21 Rockfish, 5 Sculpin, 5 Calico Bass, 4 Lingcod, 3 Sand Bass, 2 Halibut, 2 Sheephead, 0"
hmlanding,Nautilus,1/2 Day Twilight,5,39 Rockfish
hmlanding,Old Glory,Overnight,18,41 Yellowtail (up to 30 pounds)
hmlanding,Patriot (SD),2.5 Day,8,6 Bluefin Tuna (up to 140 pounds)
hmlanding,Premier,1/2 Day AM,37,"80 Rockfish, 1 Sculpin, 1 Lingcod"
hmlanding,4 Boats,4 Trips,68 Anglers,"119 Rockfish, 41 Yellowtail, 6 Bluefin Tuna, 1 Sculpin, 1 Lingcod"
pointloma,Daily Double,1/2 Day AM,11,31 Barred Sand Bass
pointloma,Mission Belle,Full Day,23,"59 Yellowtail, 9 Calico Bass"
pointloma,2 Boats,2 Trips,34 Anglers,"59 Yellowtail, 31 Barred Sand Bass, 9 Calico Bass"
fisherman,Condor,2 Day,28,"13 Yellowtail, 5 Bluefin Tuna, 1 Dorado"
fisherman,Dolphin,1/2 Day AM,22,18 Sand Bass
fisherman,Dolphin,1/2 Day PM,32,47 Sand Bass
fisherman,Fortune,1.5 Day,18,18 Bluefin Tuna
fisherman,Liberty,Full Day,38,60 Yellowtail
fisherman,Pacific Dawn,2.5 Day,10,16 Bluefin Tuna (up to 200 pounds)
fisherman,Pacific Queen,Overnight,29,0
fisherman,Tomahawk,1.5 Day,17,9 Bluefin Tuna
fisherman,7 Boats,8 Trips,194 Anglers,"73 Yellowtail, 65 Sand Bass, 48 Bluefin Tuna, 1 Dorado, 0"
oceanside,Blue Horizon,3/4 Day,16,"55 Rockfish, 15 Sanddab"
oceanside,Southern Cal,1/2 Day AM,19,"70 Calico Bass Released, 40 Barracuda Released, 5 Calico Bass, 1 Sheephead, 1 White Seabass Released"
oceanside,2 Boats,2 Trips,35 Anglers,"55 Rockfish, 15 Sanddab, 5 Calico Bass, 1 Sheephead, 70 Calico Bass Released, 40 Barracuda Released, 1 White Seabass Released"
ironclad,Ironclad,3/4 Day,5,19 Yellowtail
ironclad,1 Boats,1 Trips,5 Anglers,19 Yellowtail
