Source,Boat Name,Trip Type,Anglers,Fish Count
oceanside,Southern Cal,1/2 Day AM,11,"50 Whitefish, 40 Calico Bass Released, 10 Sand Bass Released, 5 Sand Bass, 2 Calico Bass"
hmlanding,Premier,1/2 Day AM,29,"145 Sand Bass, 2 Sculpin"
fisherman,Dolphin,1/2 Day AM,57,"34 Sand Bass, 2 Sculpin"
seaforth,New Seaforth,1/2 Day AM,31,26 Sand Bass
pointloma,Daily Double,1/2 Day AM,20,"72 Barred Sand Bass, 10 Calico Bass, 2 Sheephead"
hmlanding,Premier,1/2 Day PM,19,95 Sand Bass
seaforth,New Seaforth,1/2 Day PM,34,67 Sand Bass
fisherman,Dolphin,1/2 Day PM,52,150 Sand Bass
seaforth,New Seaforth,1/2 Day Twilight,28,140 Sand Bass
oceanside,Blue Horizon,3/4 Day,19,"63 Calico Bass Released, 60 Rockfish, 8 Calico Bass, 4 Whitefish"
hmlanding,Grande,Full Day,38,"9 Yellowtail, 5 Dorado, 1 Yellowfin Tuna"
hmlanding,Alicia,Full Day,8,"10 Yellowtail, 5 Calico Bass, 5 Barracuda, 5 Rockfish"
pointloma,Mission Belle,Full Day,24,"31 Yellowtail, 7 Calico Bass, 5 Barracuda, 4 Barred Sand Bass, 1 Sculpin"
seaforth,Sea Watch,Full Day,21,10 Yellowtail
seaforth,San Diego,Full Day,21,"31 Yellowtail, 1 Bluefin Tuna"
fisherman,Liberty,Full Day,35,"16 Yellowtail, 3 Dorado"
seaforth,El Gato Dos,Full Day,5,20 Yellowtail
seaforth,Highliner,Overnight,25,"32 Bluefin Tuna, 5 Yellowtail"
hmlanding,Producer,Overnight,24,"54 Yellowtail, 32 Dorado"
seaforth,Voyager,Overnight,8,"8 Yellowtail, 2 Dorado"
pointloma,Primetime,1.5 Day,6,"12 Bluefin Tuna, 1 Yellowtail"
pointloma,Oceanside 95,1.5 Day,24,48 Bluefin Tuna
seaforth,Tribute,1.5 Day,29,"58 Bluefin Tuna, 3 Yellowtail"
fisherman,Pacific Queen,2 Day,26,"104 Bluefin Tuna, 62 Yellowtail"
hmlanding,Old Glory,2 Day,21,"98 Yellowtail, 28 Bluefin Tuna, 12 Bonito, 3 Calico Bass, 1 Dorado"
seaforth,Pacific Voyager,2 Day,17,"68 Bluefin Tuna, 15 Dorado, 2 Yellowtail"
seaforth,Aztec,2.5 Day,15,"60 Bluefin Tuna, 23 Yellowtail"
seaforth,Apollo,2.5 Day,14,"56 Bluefin Tuna, 1 Yellowtail"
hmlanding,Legend,3 Day,20,112 Bluefin Tuna
hmlanding,Ranger 85,3.5 Day,20,84 Bluefin Tuna
hmlanding,Poseidon,3.5 Day,18,"108 Bluefin Tuna, 31 Bonito, 7 Yellowtail, 1 Albacore"
hmlanding,Top Gun 80,3.5 Day,13,0
